dim	coefficient
136	297.8605559220189
137	298.4331262192429
138	298.76595402987004
139	305.73917970398963
140	302.0413880418157
141	299.1066765982521
142	353.36971755667355
143	302.0587348234245
144	295.4014659092152
145	291.950933090533
146	300.607180543716
147	304.03097380078066
148	287.9856468230091
149	305.10641483952367
150	299.6104312974774
151	297.7267593567309
152	305.6047780897615
153	292.52809584574055
154	304.60422992173585
155	282.76937350814933
156	286.23961056652286
157	305.3517588098766
158	284.65068326409107
159	314.8930967439216
160	300.79400017095696
161	304.5777604004889
162	305.7185129341616
163	300.5440818984258
164	299.3400934212487
165	307.1010355164711
166	284.4797846824616
167	297.962275370258
168	298.8537785119323
169	300.11242744120807
170	301.5932633860635
171	297.65198000003727
172	302.5293304305556
173	301.2345083892461
174	282.7233051305793
175	289.590369398471
176	265.0224629926459
177	298.171184070115
178	307.30996096865925
179	305.57672468852377
180	414.82608086871915
181	285.09511071782504
182	305.5142836172066
183	299.5058290394499
184	302.45515527096194
185	307.1885975722892
186	303.2959103948542
187	298.8221018975303
188	297.86941433034553
189	303.6605081440428
190	298.0826050222498
191	285.7641803563437
192	278.0241780727199
193	302.72460086170156
194	297.1593015078908
195	303.5096702581326
196	306.43912506536924
197	252.94481799243502
198	297.5342222894924
199	292.85141356524844
200	310.2895554879716
201	304.97791052999276
202	279.8822505776586
203	311.3343651311562
204	280.9161889478374
205	355.7918376209046
206	297.219479002599
207	295.6515547304586
208	283.4041244136692
209	300.7429241817813
210	297.6959875719242
211	299.3229087518276
212	283.9179747977456
213	296.5826518607356
214	305.0029771075474
215	299.9009797640838
216	303.96508282749636
217	297.3521222809898
218	303.3190969464504
219	305.82134876718476
220	294.50282960355133
221	320.15544434426846
222	302.9541968880018
223	302.4325676555011
224	295.2461738636174
225	295.44555542373445
226	283.5485238419497
227	292.0316744286445
228	307.9057721041054
229	294.5117129238709
230	300.8278472066697
231	301.3314960304966
232	314.49770009571404
233	299.10325992874857
234	290.91118679684024
235	310.18519658355444
236	306.86038884947254
237	293.76885139847866
238	293.6542138127257
239	305.166211035676
240	310.2452337929433
241	293.7829398951736
242	294.68976964192285
243	304.61634861955645
244	304.0707038339483
245	299.5086220603791
246	297.97538468351127
247	294.4818703106735
248	290.7025378175917
249	305.1216436228058
250	285.46038411485677
251	301.20578170158285
252	301.38131945575947
253	307.7068214618763
254	287.68317193845456
255	289.9779824220249
256	303.7069736038963
257	299.8619591151672
258	289.2191942532961
259	317.7715584939301
260	295.6238407545802
261	301.2225713695863
262	302.0899744636563
263	304.21129761790434
264	298.87007555915216
265	278.83109295569375
266	275.89075873371155
267	296.7039922996431
268	298.488107737422
269	302.62645172261773
270	289.4847042092103
271	296.43424938806425
272	291.0266409563209
273	393.95788885554725
274	300.66245960502613
275	293.20114324763176
276	276.4897331587986
277	301.59918626956426
278	314.84986909499025
279	291.923957132647
280	307.72523112859494
281	295.0786850172989
282	301.9669768198669
283	285.58541233426075
284	302.9037204468223
285	294.48599164134714
286	306.26625389419604
287	294.88804709921357
288	291.50681654882754
289	303.42050309585386
290	301.8757761260716
291	279.5895346023936
292	307.3431017952046
293	300.9562341317086
294	304.46198545700486
295	304.1211465745497
